1,12681,10,3184.6672,189
5,2135,1,12.159997,25
6,1926,2,15.548389,31
14,270,1,3.1999996,20
16,422,1,17.882353,17
17,389,1,0.0,12
18,181,1,1.6923078,13
295,125,1,0.0,12
337,5062,3,127.4375,64
366,180,1,0.0,12
596,854,1,3.0,12
597,451,1,0.0,12
658,103,1,0.909091,11
664,2170,1,0.0,12
705,7129,1,0.909091,11
714,2381,1,141.0,48
715,12103,2,7038.3765,110
718,1946,1,15.714286,28
720,18378,3,16643.164,121
721,18533,2,15916.772,117
723,18046,3,10317.147,117
724,18404,2,11955.859,110
725,18220,2,12408.872,113
726,18287,3,9780.323,117
727,17904,2,17204.578,115
729,2528,1,179.21953,41
730,1836,1,97.07687,39
731,7634,2,227.71439,63
732,2020,1,37.714294,28
733,4294,2,5.0399995,25
734,18307,2,13025.242,116
878,106,1,0.0,12
879,108,1,0.909091,11
882,317,2,1.75,16
883,2716,1,115.99997,49
886,2166,1,192.31584,38
